email;role;first_name;last_name;label
contact@admin.fr;Administrateur;Lucien;HAMM;AACCP
reservations@admin.fr;Trésorier;Jean;DUPONT;
l.roman@test.com;Exposant;Louis;ROMAN;Louis La Brocante
g.delajungle@test.com;Exposant;Georges;DELAJUNGLE;
b.duval@test.com;Exposant;Bernadette;DUVAL;Association Cartophile de Haguenau
f.molas@jdg.fr;Exposant;Frédéric;MOLAS;Joueur du Grenier
d.goodenough@jdg.fr;Exposant;David;GOODENOUGH;
p.richard@test.com;Exposant;Pierre;RICHARD;La Boutique de Pierrot
g.bonnet@test.com;Exposant;Gilbert;BONNET;Gilbert Philatélie
j.bond@test.com;Exposant;James;BOND;Tableaux 007
m.simon@test.com;Exposant;Marc;SIMON;Cartes Postales Magazine
